         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	          23	           8	       -6.76	  1.0000e-10	  1.2300e-09	  4.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.3428	    -31.4248	     -7.0501	     -7.2343	
           2	       react	           1	         -99	           0	          24	           8	       -6.76	  1.0000e-10	  1.5300e-09	  5.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.1532	    -30.7613	     -6.7657	     -7.0448	
           2	       react	           1	         -99	           0	          25	           8	       -6.76	  1.0000e-10	  1.8300e-09	  6.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.9977	    -30.2170	     -6.5324	     -6.8893	
           2	       react	           1	         -99	           0	          26	           8	       -6.76	  1.0000e-10	  2.1300e-09	  7.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.8658	    -29.7555	     -6.3346	     -6.7574	
           2	       react	           1	         -99	           0	          27	           8	       -6.76	  1.0000e-10	  2.4300e-09	  8.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.7514	    -29.3549	     -6.1630	     -6.6429	
           2	       react	           1	         -99	           0	          28	           8	       -6.76	  1.0000e-10	  2.7300e-09	  9.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.6503	    -29.0010	     -6.0113	     -6.5418	
           2	       react	           1	         -99	           0	          29	           8	       -6.76	  1.0000e-10	  3.0300e-09	  1.0100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.5597	    -28.6841	     -5.8754	     -6.4513	
           2	       react	           1	         -99	           0	          30	           8	       -6.76	  1.0000e-10	  3.3300e-09	  1.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.4777	    -28.3971	     -5.7524	     -6.3693	
           2	       react	           1	         -99	           0	          31	           8	       -6.76	  1.0000e-09	  6.3300e-09	  2.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.9198	    -26.4443	     -4.9156	     -5.8113	
           2	       react	           1	         -99	           0	          32	           8	       -6.76	  1.0000e-09	  9.3300e-09	  3.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.5828	    -25.2650	     -4.4101	     -5.4744	
           2	       react	           1	         -99	           0	          33	           8	       -6.76	  1.0000e-09	  1.2330e-08	  4.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.3407	    -24.4174	     -4.0469	     -5.2322	
