         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           2	       react	           1	         -99	           0	          23	     6.99936	    -6.76036	  1.0000e-10	  4.1000e-10	  1.2300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.8793	    -31.5127	     -8.8111	
           2	       react	           1	         -99	           0	          24	     6.99945	    -6.76044	  1.0000e-10	  5.1000e-10	  1.5300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.6896	    -30.8489	     -8.5266	
           2	       react	           1	         -99	           0	          25	     6.99953	    -6.76053	  1.0000e-10	  6.1000e-10	  1.8300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.5340	    -30.3042	     -8.2933	
           2	       react	           1	         -99	           0	          26	     6.99962	    -6.76062	  1.0000e-10	  7.1000e-10	  2.1300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.4020	    -29.8424	     -8.0954	
           2	       react	           1	         -99	           0	          27	     6.99971	     -6.7607	  1.0000e-10	  8.1000e-10	  2.4300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.2874	    -29.4415	     -7.9237	
           2	       react	           1	         -99	           0	          28	     6.99979	    -6.76079	  1.0000e-10	  9.1000e-10	  2.7300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.1862	    -29.0873	     -7.7719	
           2	       react	           1	         -99	           0	          29	     6.99988	    -6.76088	  1.0000e-10	  1.0100e-09	  3.0300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.0955	    -28.7700	     -7.6360	
           2	       react	           1	         -99	           0	          30	     6.99997	    -6.76096	  1.0000e-10	  1.1100e-09	  3.3300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.0134	    -28.4826	     -7.5129	
           2	       react	           1	         -99	           0	          31	     7.00083	    -6.76182	  1.0000e-09	  2.1100e-09	  6.3300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.4542	    -26.5267	     -6.6753	
           2	       react	           1	         -99	           0	          32	     7.00169	    -6.76268	  1.0000e-09	  3.1100e-09	  9.3300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.1160	    -25.3441	     -6.1691	
           2	       react	           1	         -99	           0	          33	     7.00254	    -6.76353	  1.0000e-09	  4.1100e-09	  1.2330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.8726	    -24.4934	     -5.8051	
           2	       react	           1	         -99	           0	          34	     7.00338	    -6.76437	  1.0000e-09	  5.1100e-09	  1.5330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.6823	    -23.8282	     -5.5206	
           2	       react	           1	         -99	           0	          35	     7.00422	    -6.76521	  1.0000e-09	  6.1100e-09	  1.8330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.5258	    -23.2817	     -5.2870	
           2	       react	           1	         -99	           0	          36	     7.00505	    -6.76604	  1.0000e-09	  7.1100e-09	  2.1330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.3930	    -22.8178	     -5.0888	
           2	       react	           1	         -99	           0	          37	     7.00588	    -6.76686	  1.0000e-09	  8.1100e-09	  2.4330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.2775	    -22.4147	     -4.9167	
           2	       react	           1	         -99	           0	          38	      7.0067	    -6.76768	  1.0000e-09	  9.1100e-09	  2.7330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.1753	    -22.0581	     -4.7645	
           2	       react	           1	         -99	           0	          39	     7.00751	    -6.76849	  1.0000e-09	  1.0110e-08	  3.0330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.0837	    -21.7385	     -4.6280	
           2	       react	           1	         -99	           0	          40	     7.00832	     -6.7693	  1.0000e-09	  1.1110e-08	  3.3330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.0006	    -21.4487	     -4.5044	
           2	       react	           1	         -99	           0	          41	     7.01611	    -6.77707	  1.0000e-08	  2.1110e-08	  6.3330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.4320	    -19.4684	     -3.6614	
           2	       react	           1	         -99	           0	          42	     7.02338	    -6.78433	  1.0000e-08	  3.1110e-08	  9.3330e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.0849	    -18.2626	     -3.1499	
           2	       react	           1	         -99	           0	          43	      7.0302	    -6.79112	  1.0000e-08	  4.1110e-08	  1.2333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.8331	    -17.3903	     -2.7810	
           2	       react	           1	         -99	           0	          44	     7.03659	     -6.7975	  1.0000e-08	  5.1110e-08	  1.5333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.6350	    -16.7050	     -2.4920	
           2	       react	           1	         -99	           0	          45	      7.0426	    -6.80349	  1.0000e-08	  6.1110e-08	  1.8333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.4713	    -16.1398	     -2.2542	
           2	       react	           1	         -99	           0	          46	     7.04826	    -6.80913	  1.0000e-08	  7.1110e-08	  2.1333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.3318	    -15.6585	     -2.0520	
           2	       react	           1	         -99	           0	          47	     7.05361	    -6.81446	  1.0000e-08	  8.1110e-08	  2.4333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.2100	    -15.2392	     -1.8762	
           2	       react	           1	         -99	           0	          48	     7.05866	     -6.8195	  1.0000e-08	  9.1110e-08	  2.7333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.1020	    -14.8676	     -1.7207	
           2	       react	           1	         -99	           0	          49	     7.06345	    -6.82427	  1.0000e-08	  1.0111e-07	  3.0333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.0048	    -14.5338	     -1.5811	
           2	       react	           1	         -99	           0	          50	     7.06799	    -6.82879	  1.0000e-08	  1.1111e-07	  3.3333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.9166	    -14.2309	     -1.4546	
           2	       react	           1	         -99	           0	          51	     7.10329	     -6.8639	  1.0000e-07	  2.1111e-07	  6.3333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.3107	    -12.1555	     -0.5911	
           2	       react	           1	         -99	           0	          52	     7.12682	    -6.88726	  1.0000e-07	  3.1111e-07	  9.3333e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -0.9421	    -10.8960	     -0.0687	
           2	       react	           1	         -99	           0	          53	     7.07395	    -6.83429	  1.0000e-07	  3.1778e-07	  1.0467e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.3332e-08	  9.3332e-08	     -0.9561	    -10.8551	      0.0000	
           2	       react	           1	         -99	           0	          54	     7.01345	     -6.7737	  1.0000e-07	  3.0780e-07	  1.1267e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.0331e-07	  1.0998e-07	     -1.0235	    -10.9899	      0.0000	
           2	       react	           1	         -99	           0	          55	     6.95922	    -6.71939	  1.0000e-07	  2.9907e-07	  1.2093e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1204e-07	  1.0873e-07	     -1.0839	    -11.1109	      0.0000	
           2	       react	           1	         -99	           0	          56	     6.91046	    -6.67054	  1.0000e-07	  2.9128e-07	  1.2937e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1983e-07	  1.0779e-07	     -1.1384	    -11.2199	      0.0000	
