         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           4	       react	           1	         -99	           0	          27	     7.00857	    -6.76957	  1.0000e-10	  2.4300e-09	  8.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.3777	    -37.0153	     -8.3930	
           4	       react	           1	         -99	           0	          28	     7.00975	    -6.77075	  1.0000e-10	  2.7300e-09	  9.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.2748	    -36.6570	     -8.2403	
           4	       react	           1	         -99	           0	          29	     7.01093	    -6.77193	  1.0000e-10	  3.0300e-09	  1.0100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.1826	    -36.3356	     -8.1034	
           4	       react	           1	         -99	           0	          30	      7.0121	    -6.77311	  1.0000e-10	  3.3300e-09	  1.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.0989	    -36.0442	     -7.9794	
           4	       react	           1	         -99	           0	          31	     7.02387	    -6.78487	  1.0000e-09	  6.3300e-09	  2.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.5242	    -34.0477	     -7.1324	
           4	       react	           1	         -99	           0	          32	     7.03558	    -6.79659	  1.0000e-09	  9.3300e-09	  3.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.1706	    -32.8251	     -6.6170	
           4	       react	           1	         -99	           0	          33	     7.04724	    -6.80825	  1.0000e-09	  1.2330e-08	  4.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.9119	    -31.9348	     -6.2440	
           4	       react	           1	         -99	           0	          34	     7.05884	    -6.81985	  1.0000e-09	  1.5330e-08	  5.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.7064	    -31.2306	     -5.9508	
           4	       react	           1	         -99	           0	          35	     7.07037	    -6.83138	  1.0000e-09	  1.8330e-08	  6.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.5351	    -30.6458	     -5.7087	
           4	       react	           1	         -99	           0	          36	     7.08182	    -6.84283	  1.0000e-09	  2.1330e-08	  7.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.3875	    -30.1441	     -5.5021	
           4	       react	           1	         -99	           0	          37	     7.09319	     -6.8542	  1.0000e-09	  2.4330e-08	  8.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.2574	    -29.7037	     -5.3219	
           4	       react	           1	         -99	           0	          38	     7.10447	    -6.86549	  1.0000e-09	  2.7330e-08	  9.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.1409	    -29.3106	     -5.1618	
           4	       react	           1	         -99	           0	          39	     7.11565	    -6.87667	  1.0000e-09	  3.0330e-08	  1.0110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.0351	    -28.9550	     -5.0178	
           4	       react	           1	         -99	           0	          40	     7.12674	    -6.88776	  1.0000e-09	  3.3330e-08	  1.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.9381	    -28.6299	     -4.8868	
           4	       react	           1	         -99	           0	          41	     7.23139	    -6.99243	  1.0000e-08	  6.3330e-08	  2.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.2417	    -26.3320	     -3.9816	
